##FastQC	0.11.3
>>Basic Statistics	pass
#Measure	Value
Filename	XCV_03_R2.cl.pd.fq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	1488139
Sequences flagged as poor quality	0
Sequence length	35-150
%GC	40
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	31.820897107057874	32.0	32.0	32.0	32.0	32.0
2	31.380501418214294	32.0	32.0	32.0	32.0	32.0
3	35.052293502152686	37.0	32.0	37.0	32.0	37.0
4	35.775342222735915	37.0	37.0	37.0	32.0	37.0
5	36.34147146200725	37.0	37.0	37.0	37.0	37.0
6	39.575798362921745	41.0	41.0	41.0	37.0	41.0
7	39.72111207353614	41.0	41.0	41.0	37.0	41.0
8	39.729891495350905	41.0	41.0	41.0	37.0	41.0
9	39.77734942770803	41.0	41.0	41.0	37.0	41.0
10-14	39.77776699622817	41.0	41.0	41.0	37.0	41.0
15-19	39.666274991785045	41.0	41.0	41.0	37.0	41.0
20-24	39.55198311448057	41.0	41.0	41.0	37.0	41.0
25-29	39.50671986958207	41.0	41.0	41.0	37.0	41.0
30-34	39.43548485726132	41.0	41.0	41.0	37.0	41.0
35-39	39.3369495384162	41.0	41.0	41.0	37.0	41.0
40-44	39.25858221405381	41.0	41.0	41.0	37.0	41.0
45-49	39.21826129303621	41.0	41.0	41.0	37.0	41.0
50-54	39.145484294012874	41.0	41.0	41.0	37.0	41.0
55-59	39.07986599897689	41.0	41.0	41.0	37.0	41.0
60-64	38.97540565141118	41.0	41.0	41.0	37.0	41.0
65-69	38.95237952763226	41.0	41.0	41.0	37.0	41.0
70-74	38.88650842057794	41.0	41.0	41.0	34.0	41.0
75-79	38.61538223119361	41.0	39.4	41.0	33.0	41.0
80-84	39.07406596379777	41.0	41.0	41.0	37.0	41.0
85-89	39.00653570807434	41.0	41.0	41.0	37.0	41.0
90-94	38.89113696619487	41.0	41.0	41.0	34.0	41.0
95-99	38.81814530305961	41.0	41.0	41.0	32.0	41.0
100-104	38.80926171077606	41.0	41.0	41.0	32.0	41.0
105-109	38.65785126376914	41.0	40.2	41.0	32.0	41.0
110-114	38.57558470301936	41.0	37.0	41.0	32.0	41.0
115-119	38.45566612206774	41.0	37.0	41.0	32.0	41.0
120-124	38.29090599166154	41.0	37.0	41.0	32.0	41.0
125-129	38.07338963802478	41.0	37.0	41.0	32.0	41.0
130-134	37.798831239500416	41.0	37.0	41.0	32.0	41.0
135-139	37.62511409437597	41.0	37.0	41.0	32.0	41.0
140-144	37.33755008271235	41.0	37.0	41.0	27.0	41.0
145-149	37.09947312129308	41.0	37.0	41.0	27.0	41.0
150	38.005615268968796	41.0	37.0	41.0	32.0	41.0
>>END_MODULE
>>Per tile sequence quality	warn
#Tile	Base	Mean
1103	20-24	-0.012696970448892841
1103	25-29	-0.14352950314451363
1103	30-34	-0.2175535671565143
1103	35-39	-0.420796200241206
1103	40-44	-0.5933079705845401
1103	45-49	-0.42094649996371913
1103	50-54	-0.40887455749653867
1103	55-59	-0.6995203938294523
1103	60-64	-0.5675128286044782
1103	65-69	-0.613408784814041
1103	70-74	-0.5998268931502366
1103	75-79	-0.3759991785968211
1103	80-84	-0.5762832333912229
1103	85-89	-0.3045524145679721
1103	90-94	-0.5539456012883264
1103	95-99	-0.36830435856869315
1103	100-104	-0.5681851486837317
1103	105-109	-0.3997757836292877
1103	110-114	-0.31372708922588544
1103	115-119	-0.3117285108541594
1103	120-124	-0.310608683104185
1103	125-129	-0.04014191457891059
1103	130-134	-0.02328568830177602
1103	135-139	-0.003695642605997307
1103	140-144	-0.19840019359954653
1103	145-149	-0.030689022926836174
1103	150	0.05603171904532189
1104	1	0.023119512904013817
1104	2	-0.14112244212452296
1104	3	0.10896214123545889
1104	4	0.132058269689999
1104	5	0.037580396402745464
1104	6	0.12662925072130804
1104	7	0.04549010678172749
1104	8	0.11263691852263236
1104	9	-0.08103051175474718
1104	10-14	0.03641701415292431
1104	15-19	0.007481881108901689
1104	20-24	0.009690397412434493
1104	25-29	0.029674827015767846
1104	30-34	-0.11844283365326191
1104	35-39	-0.15477818041662772
1104	40-44	-0.3968300782712362
1104	45-49	-0.34505937522177277
1104	50-54	-0.2916200611614883
1104	55-59	-0.3225465877185698
1104	60-64	-0.36058107340638657
1104	65-69	-0.3576060542402928
1104	70-74	-0.34663128297419377
1104	75-79	-0.21484316994069985
1104	80-84	-0.12284334884882497
1104	85-89	-0.0013074630406606502
1104	90-94	0.03381210416529967
1104	95-99	0.11184942585979485
1104	100-104	0.01519367352293699
1104	105-109	-0.15903198618291725
1104	110-114	-0.11043166502304302
1104	115-119	-0.12481230257024833
1104	120-124	0.00808273048108532
1104	125-129	-0.049145696100090674
1104	130-134	-0.09725950238073011
1104	135-139	0.14127451708333894
1104	140-144	0.1168581180257533
1104	145-149	-0.07442325217740375
1104	150	-0.16542288883996292
1105	1	0.0038350124865971225
1105	2	0.16706072989322251
1105	3	0.024019122224608225
1105	4	0.017139304251394094
1105	5	-0.21409016682364523
1105	6	-0.076924253108821
1105	7	-0.024072506867931054
1105	8	0.09164784673669857
1105	9	0.16035551337756715
1105	10-14	-0.0026070414022996147
1105	15-19	-0.12135880809633903
1105	20-24	-0.16745724154998953
1105	25-29	-0.1810387490742329
1105	30-34	-0.3285155099453263
1105	35-39	-0.28322610175116836
1105	40-44	-0.25292313249588005
1105	45-49	-0.22512449209970242
1105	50-54	-0.13992235858961521
1105	55-59	-0.10984991247045173
1105	60-64	-0.22057896296271196
1105	65-69	-0.09219185647983608
1105	70-74	-0.2801019816749175
1105	75-79	-0.05310333248514354
1105	80-84	0.07274541271974044
1105	85-89	0.08493614467864319
1105	90-94	-0.03108322808316899
1105	95-99	0.1051757067469552
1105	100-104	0.03535158555808238
1105	105-109	0.026351352645228587
1105	110-114	-0.14981302582971523
1105	115-119	-0.14424232613988153
1105	120-124	-0.004359753135489086
1105	125-129	-0.006806515925916301
1105	130-134	0.03971964171122977
1105	135-139	-0.13569973832279913
1105	140-144	0.1612124950385052
1105	145-149	0.2917428144494991
1105	150	8.050560553556352E-4
1106	1	0.06509861753883328
1106	2	-0.2230004323128547
1106	3	-0.1478811111171936
1106	4	-0.4296916259952184
1106	5	-0.16600884236265046
1106	6	-0.2070820464684715
1106	7	-0.04639683624822055
1106	8	-0.0068507034648988
1106	9	-0.272999286187698
1106	10-14	-0.36476395072843815
1106	15-19	-0.36460915430140517
1106	20-24	-0.727076776041784
1106	25-29	-0.47473653377565483
1106	30-34	-0.45391326294404166
1106	35-39	-0.8112586317901247
1106	40-44	-0.676954907138402
1106	45-49	-0.8842244518113063
1106	50-54	-0.9206375237859845
1106	55-59	-1.026052256952049
1106	60-64	-0.8467538789920042
1106	65-69	-0.6028438847128896
1106	70-74	-1.249728221605757
1106	75-79	-0.7978398602575325
1106	80-84	-0.7709964039559054
1106	85-89	-1.1891262566769925
1106	90-94	-0.9559562533306192
1106	95-99	-0.8306235101481505
1106	100-104	-1.104353469692171
1106	105-109	-0.7184365439995375
1106	110-114	-0.7776634960245872
1106	115-119	-0.5410618319626579
1106	120-124	-0.584324819755885
1106	125-129	-0.7184103159399342
1106	130-134	-0.635681400878461
1106	135-139	-0.924251623613209
1106	140-144	-0.7320642951207361
1106	145-149	-1.011576778786278
1106	150	-0.5022907252420339
1107	1	0.016704050209025212
1107	2	0.0988063300340869
1107	3	0.11148066314335381
1107	4	-0.06499347726050786
1107	5	-0.19728425925944748
1107	6	-0.014621125817733116
1107	7	0.1642568127228472
1107	8	0.036807865341970114
1107	9	0.04638496237940615
1107	10-14	-0.020914382149172184
1107	15-19	0.10423926032090236
1107	20-24	0.09503256177792707
1107	25-29	-0.09832755232968537
1107	30-34	-0.04454440577526242
1107	35-39	-0.011839988479714236
1107	40-44	-0.024243343983165744
1107	45-49	-0.08696160278063303
1107	50-54	-0.13238370741157013
