"","x"
"331","MA_104034g0010"
"332","MA_11224g0010"
"333","MA_10433104g0010"
"334","MA_10434842g0010"
"335","MA_25308g0010"
"336","MA_4203g0010"
"337","MA_10283g0010"
"338","MA_57579g0010"
"339","MA_77033g0010"
"340","MA_12280g0010"
"341","MA_10435425g0020"
"342","MA_44561g0010"
"343","MA_10435961g0030"
"344","MA_158317g0010"
"345","MA_86060g0010"
"346","MA_10427910g0010"
"347","MA_10431641g0010"
"348","MA_174929g0020"
"349","MA_322191g0010"
"350","MA_112953g0010"
"351","MA_20447g0010"
"352","MA_10431443g0010"
"353","MA_808469g0010"
"354","MA_227482g0010"
"355","MA_103463g0010"
"356","MA_84757g0010"
"357","MA_10435990g0010"
"358","MA_105236g0010"
"359","MA_109804g0010"
"360","MA_86784g0010"
"361","MA_9253g0010"
"362","MA_10426688g0010"
"363","MA_805240g0010"
"364","MA_10434740g0010"
"365","MA_5767g0010"
"366","MA_105932g0010"
"367","MA_12926g0010"
"368","MA_180199g0010"
"369","MA_5868745g0010"
"370","MA_10430023g0010"
"371","MA_10435848g0010"
"372","MA_10027972g0010"
"373","MA_103256g0010"
"374","MA_34900g0010"
"375","MA_197833g0010"
"376","MA_50045g0010"
"377","MA_886307g0010"
"378","MA_10433227g0010"
"379","MA_360253g0010"
"380","MA_51890g0010"
"381","MA_10433513g0010"
"382","MA_10427947g0020"
"383","MA_119790g0010"
"384","MA_43300g0010"
"385","MA_52212g0010"
"386","MA_10429328g0010"
"387","MA_116933g0010"
"388","MA_132750g0010"
"389","MA_52085g0010"
"390","MA_10754g0010"
"391","MA_93250g0010"
"392","MA_163650g0010"
"393","MA_141486g0010"
"394","MA_9025515g0010"
"395","MA_16573g0010"
"396","MA_14124g0010"
"397","MA_81029g0010"
"398","MA_2430g0010"
"399","MA_10433085g0020"
"400","MA_35762g0010"
"401","MA_10434313g0010"
"402","MA_213048g0010"
"403","MA_9989648g0010"
"404","MA_18990g0010"
"405","MA_10431031g0010"
"406","MA_110989g0010"
"407","MA_41196g0010"
"408","MA_22203g0020"
"409","MA_133864g0010"
"410","MA_40614g0010"
"411","MA_37513g0010"
"412","MA_9942220g0010"
"413","MA_196364g0010"
"414","MA_237930g0010"
"415","MA_44165g0010"
"416","MA_64432g0010"
"417","MA_6109g0010"
"418","MA_5735g0010"
"419","MA_124514g0010"
"420","MA_99741g0010"
"421","MA_915907g0010"
"422","MA_13545g0010"
"423","MA_10435722g0010"
"424","MA_103716g0010"
"425","MA_91155g0010"
"426","MA_98266g0010"
"427","MA_105476g0010"
"428","MA_79311g0010"
"429","MA_938243g0010"
"430","MA_117901g0010"
"431","MA_102349g0010"
"432","MA_122492g0010"
"433","MA_5885250g0010"
"434","MA_18470g0010"
"435","MA_97951g0010"
"436","MA_9739622g0010"
"437","MA_8963g0010"
"438","MA_601245g0010"
"439","MA_214185g0010"
"440","MA_10427385g0010"
"441","MA_103104g0010"
"442","MA_10435039g0010"
"443","MA_7732g0010"
"444","MA_79336g0010"
"445","MA_103578g0010"
"446","MA_118809g0010"
"447","MA_166792g0010"
"448","MA_116904g0010"
"449","MA_10431883g0020"
"450","MA_10432871g0010"
"451","MA_20572g0010"
"452","MA_8194628g0010"
"453","MA_7518575g0010"
"454","MA_47856g0010"
"455","MA_4056g0010"
"456","MA_15838g0010"
"457","MA_407162g0010"
"458","MA_10430509g0010"
"459","MA_32712g0010"
"460","MA_82638g0010"
"461","MA_491848g0010"
"462","MA_10265574g0010"
"463","MA_158173g0010"
"464","MA_36686g0010"
"465","MA_45286g0010"
"466","MA_8921185g0010"
"467","MA_90134g0010"
"468","MA_115358g0010"
"469","MA_103594g0010"
"470","MA_10427706g0010"
"471","MA_186946g0010"
"472","MA_155502g0010"
"473","MA_6172876g0010"
"474","MA_5115g0010"
"475","MA_8334247g0010"
"476","MA_1315g0010"
"477","MA_188861g0010"
"478","MA_487045g0010"
"479","MA_49645g0010"
"480","MA_135063g0010"
"481","MA_61356g0010"
"482","MA_111802g0010"
"483","MA_803378g0010"
"484","MA_4789904g0010"
"485","MA_3905g0020"
"486","MA_10425895g0020"
"487","MA_65113g0010"
"488","MA_10824g0010"
"489","MA_25710g0010"
"490","MA_837745g0010"
"491","MA_10140789g0010"
"492","MA_203340g0010"
"493","MA_825007g0010"
"494","MA_10436309g0010"
"495","MA_28601g0020"
"496","MA_747559g0010"
"497","MA_10426586g0010"
"498","MA_427215g0010"
"499","MA_10435521g0020"
"500","MA_676551g0010"
"501","MA_10430219g0010"
"502","MA_17973g0010"
"503","MA_10428752g0010"
"504","MA_111857g0010"
"505","MA_10367487g0010"
"506","MA_10430788g0010"
"507","MA_3809g0010"
"508","MA_9307g0010"
"509","MA_27414g0020"
"510","MA_275181g0010"
"511","MA_9371673g0010"
"512","MA_10435143g0020"
"513","MA_115613g0010"
"514","MA_83273g0010"
"515","MA_58704g0010"
"516","MA_865199g0010"
"517","MA_10429805g0030"
"518","MA_10432033g0020"
"519","MA_120662g0010"
"520","MA_10435028g0010"
"521","MA_306910g0010"
"522","MA_469246g0010"
"523","MA_47536g0010"
"524","MA_10296009g0010"
"525","MA_10428243g0010"
"526","MA_10435814g0020"
"527","MA_350040g0010"
"528","MA_15205g0010"
"529","MA_110954g0010"
"530","MA_103645g0010"
"531","MA_10436275g0010"
"532","MA_50378g0010"
"533","MA_479900g0010"
"534","MA_101288g0010"
"535","MA_5353g0010"
"536","MA_10431910g0010"
"537","MA_10434946g0010"
"538","MA_10427828g0010"
"539","MA_10259419g0010"
"540","MA_10436879g0010"
"541","MA_16080g0010"
"542","MA_19597g0010"
"543","MA_83822g0010"
"544","MA_93495g0010"
"545","MA_877789g0010"
"546","MA_203992g0010"
"547","MA_10433352g0010"
"548","MA_10435567g0020"
"549","MA_10429336g0010"
"550","MA_999418g0010"
"551","MA_938431g0010"
"552","MA_292096g0010"
"553","MA_206002g0010"
"554","MA_366260g0010"
"555","MA_10427230g0010"
"556","MA_920994g0010"
"557","MA_138828g0010"
"558","MA_64144g0010"
"559","MA_105092g0010"
"560","MA_10351596g0010"
"561","MA_268175g0010"
"562","MA_124591g0010"
"563","MA_363692g0010"
"564","MA_474985g0010"
"565","MA_10436083g0020"
"566","MA_126789g0010"
"567","MA_218947g0010"
"568","MA_10429044g0010"
"569","MA_170302g0010"
"570","MA_39002g0010"
"571","MA_10432264g0010"
"572","MA_10429272g0010"
"573","MA_92435g0010"
"574","MA_204735g0010"
"575","MA_97627g0010"
"576","MA_10208488g0010"
"577","MA_158811g0010"
"578","MA_10429604g0010"
"579","MA_14256g0010"
"580","MA_16752g0020"
"581","MA_10263488g0010"
"582","MA_10431877g0010"
"583","MA_7590904g0010"
"584","MA_2998g0020"
"585","MA_372983g0010"
"586","MA_10426264g0020"
"587","MA_9370877g0010"
"588","MA_10399g0010"
"589","MA_94340g0010"
"590","MA_10428962g0010"
"591","MA_586957g0010"
"592","MA_8723088g0010"
"593","MA_5372344g0010"
"594","MA_8192g0010"
"595","MA_18454g0020"
"596","MA_10432956g0010"
"597","MA_172637g0010"
"598","MA_313098g0010"
"599","MA_112179g0010"
"600","MA_190532g0010"
"601","MA_10227813g0010"
"602","MA_44564g0010"
"603","MA_169367g0010"
"604","MA_63721g0010"
"605","MA_129306g0010"
"606","MA_10338025g0010"
"607","MA_60392g0010"
"608","MA_76403g0010"
"609","MA_10426668g0020"
"610","MA_2937g0010"
"611","MA_103557g0010"
"612","MA_10433908g0010"
"613","MA_39898g0010"
"614","MA_4704g0010"
"615","MA_488033g0010"
"616","MA_5021g0010"
"617","MA_9106132g0010"
"618","MA_10432758g0010"
"619","MA_10432283g0020"
"620","MA_959414g0010"
"621","MA_177359g0010"
"622","MA_128679g0010"
"623","MA_10436287g0020"
"624","MA_244108g0010"
"625","MA_58990g0010"
"626","MA_492153g0010"
"627","MA_908837g0010"
"628","MA_10436856g0010"
"629","MA_901965g0010"
"630","MA_137874g0010"
"631","MA_10427432g0020"
"632","MA_28894g0010"
"633","MA_107308g0010"
"634","MA_210354g0010"
"635","MA_9529715g0010"
"636","MA_40046g0020"
"637","MA_231088g0010"
"638","MA_702104g0010"
"639","MA_72565g0010"
"640","MA_88581g0010"
"641","MA_10336300g0010"
"642","MA_151527g0010"
"643","MA_33989g0010"
"644","MA_69162g0010"
